Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,165,04 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=81286,No,No
2026,Enero,164,28 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=81243,https://www.camara.cl/verDoc.aspx?prmID=381218&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381574&prmTipo=DOCUMENTO_COMISION
2026,Enero,163,21 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=81208,https://www.camara.cl/verDoc.aspx?prmID=380183&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381199&prmTipo=DOCUMENTO_COMISION
2026,Enero,163,14 ene. 2026,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=81164,No,No
2026,Enero,162,07 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=81109,https://www.camara.cl/verDoc.aspx?prmID=378507&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=378944&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,161,17 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=81074,https://www.camara.cl/verDoc.aspx?prmID=376635&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=378017&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,160,10 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=81053,https://www.camara.cl/verDoc.aspx?prmID=375818&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376660&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,159,03 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=81003,https://www.camara.cl/verDoc.aspx?prmID=375193&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=375923&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,159,26 nov. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80970,No,No
2025,Octubre,158,15 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80834,https://www.camara.cl/verDoc.aspx?prmID=371437&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=371542&prmTipo=DOCUMENTO_COMISION
2025,Octubre,157,08 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80808,https://www.camara.cl/verDoc.aspx?prmID=370317&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=370617&prmTipo=DOCUMENTO_COMISION
2025,Octubre,156,01 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80737,https://www.camara.cl/verDoc.aspx?prmID=369428&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=369971&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,155,10 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80684,https://www.camara.cl/verDoc.aspx?prmID=367319&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=368490&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,154,03 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80651,https://www.camara.cl/verDoc.aspx?prmID=366420&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=367294&prmTipo=DOCUMENTO_COMISION
2025,Agosto,153,20 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80566,https://www.camara.cl/verDoc.aspx?prmID=365024&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=365518&prmTipo=DOCUMENTO_COMISION
2025,Agosto,152,13 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80542,https://www.camara.cl/verDoc.aspx?prmID=364074&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=365151&prmTipo=DOCUMENTO_COMISION
2025,Agosto,151,06 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80485,https://www.camara.cl/verDoc.aspx?prmID=363516&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=364142&prmTipo=DOCUMENTO_COMISION
2025,Julio,150,23 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80407,https://www.camara.cl/verDoc.aspx?prmID=360168&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=360996&prmTipo=DOCUMENTO_COMISION
2025,Julio,149,09 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80334,https://www.camara.cl/verDoc.aspx?prmID=357900&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=358198&prmTipo=DOCUMENTO_COMISION
2025,Julio,148,02 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80294,https://www.camara.cl/verDoc.aspx?prmID=362967&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=356975&prmTipo=DOCUMENTO_COMISION
2025,Junio,147,18 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80247,https://www.camara.cl/verDoc.aspx?prmID=355943&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=355832&prmTipo=DOCUMENTO_COMISION
2025,Junio,146,12 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80158,https://www.camara.cl/verDoc.aspx?prmID=354636&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=355435&prmTipo=DOCUMENTO_COMISION
2025,Junio,146,11 jun. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80176,No,No
2025,Junio,145,09 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80156,https://www.camara.cl/verDoc.aspx?prmID=354150&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=354649&prmTipo=DOCUMENTO_COMISION
2025,Junio,144,04 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80139,https://www.camara.cl/verDoc.aspx?prmID=353738&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=354113&prmTipo=DOCUMENTO_COMISION
2025,Junio,143,02 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80132,https://www.camara.cl/verDoc.aspx?prmID=352826&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=352955&prmTipo=DOCUMENTO_COMISION
2025,Mayo,142,19 may. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3305&prmIdSesion=80083,https://www.camara.cl/verDoc.aspx?prmID=351873&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=352800&prmTipo=DOCUMENTO_COMISION
