Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Abril,3,08 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4899&prmIdSesion=81438,No,No
2026,Marzo,2,25 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4899&prmIdSesion=81412,https://www.camara.cl/verDoc.aspx?prmID=264000&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,No
2026,Marzo,1,18 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4899&prmIdSesion=81374,https://www.camara.cl/verDoc.aspx?prmID=263324&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263566&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,140,04 mar. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4899&prmIdSesion=81291,No,No
2026,Enero,139,28 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4899&prmIdSesion=81247,https://www.camara.cl/verDoc.aspx?prmID=258743&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19746&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,138,21 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4899&prmIdSesion=81203,https://www.camara.cl/verDoc.aspx?prmID=251842&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13009&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,137,14 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4899&prmIdSesion=81153,https://www.camara.cl/verDoc.aspx?prmID=255854&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=16949&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,136,08 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4899&prmIdSesion=81100,https://www.camara.cl/verDoc.aspx?prmID=257018&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18075&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,135,07 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4899&prmIdSesion=81099,https://www.camara.cl/verDoc.aspx?prmID=257017&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18074&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,135,18 dic. 2025,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4899&prmIdSesion=81044,No,No
2025,Diciembre,134,17 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4899&prmIdSesion=81077,https://www.camara.cl/verDoc.aspx?prmID=258317&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19328&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,133,10 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4899&prmIdSesion=81043,https://www.camara.cl/verDoc.aspx?prmID=258750&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19752&prmTipo=DOCUMENTO_COMISIONSESIONACTA
